Submitted at,Country you live and work in,City,Gender,Your age,Your job title,JobTItle,What is your current type of employment?,Level of seniority,Primary field of work,Years of relevant design experience,Years of total working experience,Years of relevant experience_grouped,Highest level of formal education attained,Did you have design-related education (Formal/informal)?,Select the relevant design-related education. Select all that apply.,"Select the relevant design-related education. Select all that apply. (Formal design education (Diploma, Degree..))",Select the relevant design-related education. Select all that apply. (Online certification (e.g. Coursera or IDF)),Select the relevant design-related education. Select all that apply. (Bootcamps (e.g. General Assembly)),Select the relevant design-related education. Select all that apply. (In-person certified courses),Select the relevant design-related education. Select all that apply. (Self-taught / informal / unstructured courses),Have you lived and worked in another country?,Currency you draw your salary in,Would you like to share your base salary on a monthly or annual basis?,Annual base salary,Monthly base salary,Annual bonus,Annual stock grant (in local currency),Other compensation (annual basis),Annual Total Comp,Annual Total Comp (SGD),Annual Total Comp Range(SGD),Exclude,More than 1 row_jobtitle,Other benefits,What type of company do you currently work for?,Industry your company is in,Company size,Size of design team,Are you physically located at your company headquarters?,Work arrangement at company,Company name
2/10/2024 1:51,Singapore,Singapore,Male,25 - 30,Conversion Rate Optimisation Specialist,Conversion Rate Optimisation Specialist,Full-time employee,Mid-level IC,Product / UX design,3,4,3 to 5 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly), Online certification (e.g. Coursera or IDF)",TRUE,TRUE,TRUE,FALSE,FALSE,No,SGD,Monthly,,"5,300",500,,"1,500","65,600","65,600",60K-80K,,Y,"Flexible schedule, Health insurance, Professional development, training, or learning fund, Paid medical leave, Wellness (gym, fitness, etc), Paid time off / vacation time, Onsite food / snacks",Agency / Consulting,"Technology, media & telecommunications",51 - 200,2-Oct,No,4 days on-site,
2/10/2024 2:00,Singapore,Singapore,Female,31 - 35,Senior UX Designer,Senior UX Designer,Full-time employee,Mid-level IC,Product / UX research,7,12,5 to 10 years,Master's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,Yes,SGD,Monthly,,"7,100","15,000",,,"100,200","100,200",80K-120K,,Y,"Paid time off / vacation time, Paid medical leave, Professional development, training, or learning fund",Government,"Technology, media & telecommunications",201 - 1000,2-Oct,Yes,Fully on-site,
3/10/2024 1:36,Singapore,Singapore,Male,25 - 30,Product Designer,Product Designer,Full-time employee,Junior IC (Entry level),Product / UX design,1,1,Up to 3 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,SGD,Monthly,,"6,000","20,000","5,000","1,000","98,000","98,000",80K-120K,,Y,"Paid medical leave, Allowance for flexible working arrangement (remote/co-working space), Paid time off / vacation time, Professional development, training, or learning fund, Health insurance",Start-up,Financial services,51 - 200,2-Oct,No,1 day on-site,
3/10/2024 3:39,Malaysia,Kuala Lumpur,Female,31 - 35,Ux research,UX research,Full-time employee,Mid-level IC,Product / UX research,3,3,3 to 5 years,Bachelor's degree,Yes,Online certification (e.g. Coursera or IDF),FALSE,TRUE,FALSE,FALSE,FALSE,No,MYR,Monthly,,"6,500",,,,"78,000","23,642",20K-25K,,Y,,Large enterprise (MNC),Banking & capital markets,"1001 - 10,000",Nov-50,Yes,1 day on-site,
3/10/2024 3:40,Malaysia,Ipoh,Female,31 - 35,UX Lead,UX Lead,Full-time employee,Lead / Staff / Principal IC,Product / UX design,7,8,5 to 10 years,Bachelor's degree,No,,,,,,,No,MYR,Monthly,,"8,100",,,,"97,200","29,462",25K-45K,,Y,"Flexible schedule, Health insurance, Wellness (gym, fitness, etc)",Agency / Consulting,"Technology, media & telecommunications",Nov-50,Nov-50,No,Fully remote,
3/10/2024 3:40,Malaysia,Kuala Lumpur,Prefer not to respond,18 - 24,Graphic Design,graphic design,Full-time employee,Junior IC (Entry level),Marketing / graphic design,1,1,Up to 3 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,MYR,Monthly,,"2,500",,,,"30,000","9,093",7K-20K,,Y,"Flexible schedule, Health insurance, Paid time off / vacation time, Allowance for flexible working arrangement (remote/co-working space)",Start-up,Real estate,51 - 200,2-Oct,Yes,4 days on-site,
3/10/2024 3:43,Singapore,Singapore,Male,31 - 35,Senior Designer,Senior Designer,Full-time employee,Senior IC,Design leadership and management,9,9,5 to 10 years,Bachelor's degree,No,,,,,,,No,SGD,Monthly,,"7,750",,,,"93,000","93,000",80K-120K,,Y,"Flexible schedule, Dental insurance, Health insurance, Paid time off / vacation time, Paid medical leave, Professional development, training, or learning fund",Agency / Consulting,"Technology, media & telecommunications","10,001 and above",Nov-50,No,Fully remote,EPAM
3/10/2024 3:44,Malaysia,Kuala Lumpur,Male,25 - 30,UI/UX Designer,UIUX Designer,Full-time employee,Senior IC,Product / UX design,2,4,Up to 3 years,Bachelor's degree,No,,,,,,,No,MYR,Monthly,,"6,500",,,,"78,000","23,642",20K-25K,,Y,"Health insurance, Flexible schedule, Transport subsidies, Paid time off / vacation time, Paid medical leave, Wellness (gym, fitness, etc), Onsite food / snacks, Professional development, training, or learning fund",Agency / Consulting,"Technology, media & telecommunications",51 - 200,2-Oct,Yes,3 days on-site,
3/10/2024 3:44,Malaysia,Kuala Lumpur,Male,25 - 30,Graphic Designer,Graphic Designer,Full-time employee,Mid-level IC,Marketing / graphic design,3,4,3 to 5 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,MYR,Monthly,,"3,500",,,,"42,000","12,730",7K-20K,,Y,Health insurance,Small-medium enterprise,"Transportation, hospitality & services",201 - 1000,2-Oct,No,3 days on-site,the Hive Coworking Space
3/10/2024 3:45,Singapore,Singapore,Male,31 - 35,Senior UX Designer,Senior UX Designer,Full-time employee,Senior IC,Product / UX design,6,8,5 to 10 years,Bachelor's degree,No,,,,,,,No,SGD,Monthly,,"10,000","30,000",,,"150,000","150,000",120K-190K,,Y,"Health insurance, Dental insurance, Paid time off / vacation time, Paid medical leave, Professional development, training, or learning fund",Agency / Consulting,"Technology, media & telecommunications","10,001 and above",2-Oct,No,3 days on-site,EPAM SYSTEMS
3/10/2024 3:47,Malaysia,Kuala Lumpur,Male,31 - 35,Design Manager / Product Designer,Design Manager / Product Designer,Full-time employee,Manager,Product / UX design,7,9,5 to 10 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,MYR,Monthly,,"9,200",,,250,"110,650","33,538",25K-45K,,Y,,Start-up,Consumer products,Nov-50,2-Oct,Yes,3 days on-site,
3/10/2024 3:55,Malaysia,Kuala Lumpur,Male,36 - 40,Head of Design,head of design,Full-time employee,Director / VP*,Design leadership and management,9,19,5 to 10 years,Bachelor's degree,Yes,Self-taught / informal / unstructured courses,FALSE,FALSE,FALSE,FALSE,TRUE,No,MYR,Annual,"340,000",,"68,000",,"6,800","414,800","125,727",75K+,,Y,"Dental insurance, Professional development, training, or learning fund, Flexible spending account, Health insurance",Large enterprise (MNC),Banking & capital markets,201 - 1000,Nov-50,Yes,3 days on-site,
3/10/2024 5:35,Malaysia,Kuala Lumpur,Male,25 - 30,Product Designer,Product Designer,Full-time employee,Mid-level IC,Product / UX design,4,5,3 to 5 years,Diploma,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,MYR,Monthly,,"8,000",,,500,"96,500","29,249",25K-45K,,Y,"Flexible schedule, Allowance for flexible working arrangement (remote/co-working space)",Start-up,"Technology, media & telecommunications",1-Oct,Team of 1,Not applicable,Fully remote,
3/10/2024 6:44,Malaysia,Kuala Lumpur,Female,31 - 35,Video Manager,Video Manager,Fixed term contractor,Lead / Staff / Principal IC,Motion / animation design,6,8,5 to 10 years,Bachelor's degree,Yes,Self-taught / informal / unstructured courses,FALSE,FALSE,FALSE,FALSE,TRUE,No,MYR,Monthly,,"10,150","131,950",,,"253,750","76,912",75K+,,,"Allowance for flexible working arrangement (remote/co-working space), Health insurance, Onsite food / snacks, Paid medical leave, Professional development, training, or learning fund",Large enterprise (MNC),"Technology, media & telecommunications","10,001 and above",2-Oct,Yes,2 days on-site,
3/10/2024 10:35,Malaysia,Kuala Lumpur,Female,25 - 30,Product Designer,Product Designer,Full-time employee,Junior IC (Entry level),Product / UX design,1.5,2,Up to 3 years,Bachelor's degree,Yes,Self-taught / informal / unstructured courses,FALSE,FALSE,FALSE,FALSE,TRUE,No,MYR,Monthly,,"4,000","4,000",,,"52,000","15,761",7K-20K,,Y,"Onsite food / snacks, Flexible schedule, Health insurance, Paid medical leave, Paid time off / vacation time, Professional development, training, or learning fund",Small-medium enterprise,Financial services,51 - 200,2-Oct,Yes,4 days on-site,Involve Asia
3/10/2024 11:36,Malaysia,Kuala Lumpur,Female,18 - 24,UI/UX Designer,UIUX Designer,Full-time employee,Junior IC (Entry level),Product / UX research,1,1,Up to 3 years,Bachelor's degree,Yes,"Bootcamps (e.g. General Assembly), Formal design education (Diploma, Degree..)",TRUE,FALSE,TRUE,FALSE,FALSE,No,MYR,Monthly,,"3,500",,,,"42,000","12,730",7K-20K,,Y,"Professional development, training, or learning fund, Allowance for flexible working arrangement (remote/co-working space), Internet / mobile phone subsidies, Paid time off / vacation time, Health insurance",Large enterprise (MNC),"Technology, media & telecommunications","10,001 and above",Nov-50,Yes,4 days on-site,
4/10/2024 3:41,Malaysia,Kuala Lumpur,Female,36 - 40,Graphic Team Lead,Graphic Team Lead,Full-time employee,Lead / Staff / Principal IC,Marketing / graphic design,16,16,Atleast 10 years,Post-graduate diploma,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,MYR,Annual,"144,000",,"18,000",,"5,270","167,270","50,700",45K-75K,,Y,"Dental insurance, Paid medical leave, Health insurance, Wellness (gym, fitness, etc), Internet / mobile phone subsidies, Professional development, training, or learning fund, Budget for equipment or home office setup, Flexible schedule, Paid time off / vacation time, Flexible spending account",Large enterprise (MNC),Power & utilities,"10,001 and above",Nov-50,No,2 days on-site,Ørsted
8/10/2024 9:32,Indonesia,Jakarta,Male,18 - 24,UI Designer,UI DESIGNER,Full-time employee,Mid-level IC,Visual / UI design,2,2,Up to 3 years,High school / secondary school,No,,,,,,,No,IDR,Monthly,,"5,250,000","2,300,000",,,"65,300,000","5,485",5K-7K,,Y,,Non-profit,Social,1-Oct,Team of 1,Not applicable,Fully remote,goodkind.id
8/10/2024 9:40,Singapore,Singapore,Male,36 - 40,"VP, design system, ops, content","VP, design system, ops, content",Full-time employee,Manager,Design leadership and management,14,15,Atleast 10 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Self-taught / informal / unstructured courses, In-person certified courses",TRUE,FALSE,FALSE,TRUE,TRUE,Yes,SGD,Monthly,,"18,100","45,000",,"5,000","267,200","267,200",190K+,,,"Paid medical leave, Professional development, training, or learning fund, Dental insurance, Flexible spending account, Health insurance, Paid time off / vacation time",Large enterprise (MNC),Banking & capital markets,201 - 1000,Nov-50,Yes,2 days on-site,
9/10/2024 0:38,Singapore,Singapore,Male,25 - 30,"Associate Director, Product Design","Associate Director, Product Design",Full-time employee,Senior IC,Product / UX design,2,7,Up to 3 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,SGD,Annual,"108,000",,"18,000",,"3,600","129,600","129,600",120K-190K,,Y,"Flexible spending account, Allowance for flexible working arrangement (remote/co-working space), Paid medical leave, Health insurance, Paid time off / vacation time",Large enterprise (MNC),Banking & capital markets,"10,001 and above",Team of 1,Yes,Fully remote,
9/10/2024 1:00,Singapore,Singapore,Female,31 - 35,Experience Designer,Experience designer,Full-time employee,Junior IC (Entry level),CX Design,2,7,Up to 3 years,Bachelor's degree,Yes,Bootcamps (e.g. General Assembly),FALSE,FALSE,TRUE,FALSE,FALSE,No,SGD,Monthly,,"5,500","10,000",,,"76,000","76,000",60K-80K,,Y,,Large enterprise (MNC),Insurance,"1001 - 10,000",2-Oct,Yes,3 days on-site,
9/10/2024 1:07,Singapore,Singapore,Male,36 - 40,Principal UX Designer,Principal UX Designer,Full-time employee,Manager,Product / UX design,8,11,5 to 10 years,Master's degree,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly)",TRUE,FALSE,TRUE,FALSE,FALSE,Yes,SGD,Annual,"122,400",,"9,000",,"1,400","132,800","132,800",120K-190K,,Y,"Health insurance, Professional development, training, or learning fund, Onsite food / snacks, Flexible schedule, Allowance for flexible working arrangement (remote/co-working space), Paid medical leave, Paid time off / vacation time",Start-up,"Technology, media & telecommunications","1001 - 10,000",101 and above,Yes,1 day on-site,
9/10/2024 1:18,Singapore,Singapore,Male,36 - 40,UX Designer,UX Designer,Fixed term contractor,Mid-level IC,Product / UX design,15,15,Atleast 10 years,Diploma,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly)",TRUE,FALSE,TRUE,FALSE,FALSE,No,SGD,Monthly,,"7,000",,,,"84,000","84,000",80K-120K,,Y,Paid medical leave,Large enterprise (MNC),"Technology, media & telecommunications","10,001 and above",2-Oct,Not applicable,Fully on-site,
9/10/2024 1:32,Singapore,Singapore,Female,36 - 40,Graphic Designer,Graphic Designer,Self-employed (Freelancers; own company),Mid-level IC,Design operations,12,15,Atleast 10 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,SGD,Monthly,,"4,100","49,200",,,"98,400","98,400",80K-120K,,Y,"Wellness (gym, fitness, etc)",Large enterprise (MNC),"Transportation, hospitality & services",201 - 1000,Team of 1,Not applicable,Fully on-site,
9/10/2024 2:05,Singapore,Singapore,Male,25 - 30,Product Designer,Product Designer,Full-time employee,Mid-level IC,Product / UX design,3,4,3 to 5 years,Diploma,Yes,"Online certification (e.g. Coursera or IDF), Self-taught / informal / unstructured courses",FALSE,TRUE,FALSE,FALSE,TRUE,Yes,SGD,Monthly,,"8,120",,,"1,000","98,440","98,440",80K-120K,,Y,"Flexible schedule, Meal subsidies, Flexible spending account, Dental insurance, Paid medical leave, Paid time off / vacation time, Onsite food / snacks, Professional development, training, or learning fund, Health insurance, Wellness (gym, fitness, etc), Corporate benefits",Large enterprise (MNC),Consumer products,"1001 - 10,000",Nov-50,Yes,Fully remote,Delivery Hero
9/10/2024 2:41,Singapore,Singapore,Female,25 - 30,UI/UX Designer,UIUX Designer,Full-time employee,Mid-level IC,Product / UX design,2,4,Up to 3 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,Yes,SGD,Monthly,,"5,195","12,000",,,"74,340","74,340",60K-80K,,Y,"Paid medical leave, Health insurance",Small-medium enterprise,Consumer products,51 - 200,2-Oct,No,4 days on-site,
9/10/2024 2:42,Singapore,Singapore,Female,25 - 30,Product Designer,Product Designer,Full-time employee,Mid-level IC,Product / UX design,2,5,Up to 3 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,Yes,SGD,Monthly,,"6,100","6,100",,,"79,300","79,300",60K-80K,,Y,"Health insurance, Dental insurance, Paid time off / vacation time, Professional development, training, or learning fund, Paid medical leave, Budget for equipment or home office setup",Small-medium enterprise,Financial services,Nov-50,2-Oct,No,Fully remote,
9/10/2024 2:54,Singapore,Singapore,Female,25 - 30,Senior Product Designer,Senior Product Designer,Full-time employee,Senior IC,Product / UX design,3,3,3 to 5 years,Master's degree,Yes,"Online certification (e.g. Coursera or IDF), In-person certified courses",FALSE,TRUE,FALSE,TRUE,FALSE,No,SGD,Monthly,,"6,349","7,000",,,"83,188","83,188",80K-120K,,Y,,Large enterprise (MNC),Consumer products,"1001 - 10,000",Nov-50,Yes,4 days on-site,
9/10/2024 3:10,Singapore,Singapore,Male,31 - 35,UX designer,UX Designer,Self-employed (Freelancers; own company),Mid-level IC,Visual / UI design,5,5,5 to 10 years,Bachelor's degree,No,,,,,,,No,SGD,Monthly,,"3,500",,,,"42,000","42,000",30K-60K,,Y,,Small-medium enterprise,Jewellery,1-Oct,Team of 1,Yes,Fully on-site,MichaelTrio
9/10/2024 3:59,Singapore,Singapore,Female,25 - 30,Junior UIUX Designer,Junior UIUX Designer,Full-time employee,Junior IC (Entry level),Product / UX design,1,2,Up to 3 years,Bachelor's degree,No,,,,,,,No,SGD,Monthly,,"3,200",,,,"38,400","38,400",30K-60K,,Y,"Paid time off / vacation time, Paid medical leave, Dental insurance, Health insurance",Small-medium enterprise,Health care,Nov-50,2-Oct,Yes,4 days on-site,
9/10/2024 4:10,Singapore,Singapore,Female,25 - 30,Product Designer II,Product Designer II,Full-time employee,Mid-level IC,Product / UX design,4,4,3 to 5 years,Bachelor's degree,No,,,,,,,No,SGD,Monthly,,"8,600",,,,"103,200","103,200",80K-120K,,Y,"Paid medical leave, Health insurance, Onsite food / snacks, Meal subsidies, Professional development, training, or learning fund, Paid time off / vacation time, Wellness (gym, fitness, etc)",Large enterprise (MNC),Financial services,"1001 - 10,000",101 and above,Yes,Fully on-site,
9/10/2024 4:57,Thailand,Bangkok,Male,36 - 40,Regional Design Manager,Regional Design Manager,Full-time employee,Manager,Product / UX design,13,14,Atleast 10 years,Master's degree,Yes,"Formal design education (Diploma, Degree..), Online certification (e.g. Coursera or IDF)",TRUE,TRUE,FALSE,FALSE,FALSE,Yes,THB,Monthly,,"165,000","325,000",,,"2,305,000","92,200",50K+,,Y,Housing,Start-up,Financial services,201 - 1000,Nov-50,Yes,2 days on-site,
9/10/2024 5:17,Singapore,Singapore,Female,25 - 30,Product Designer,Product Designer,Full-time employee,Mid-level IC,Product / UX design,4,4,3 to 5 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,Yes,SGD,Monthly,,"7,200","21,600",0,"2,100","110,100","110,100",80K-120K,,Y,"Flexible spending account, Professional development, training, or learning fund, Dental insurance, Wellness (gym, fitness, etc), Onsite food / snacks",Large enterprise (MNC),"Technology, media & telecommunications","10,001 and above",101 and above,Yes,Fully on-site,TikTok Pte. Ltd.
9/10/2024 5:51,Singapore,Singapore,Male,41 - 45,Head of Design,head of design,Full-time employee,Head of department / Senior leadership,Design leadership and management,13,18,Atleast 10 years,Bachelor's degree,No,,,,,,,Yes,SGD,Monthly,,"22,750","50,000","10,000",,"333,000","333,000",190K+,,Y,"Professional development, training, or learning fund, Health insurance, Internet / mobile phone subsidies, Dental insurance, Flexible schedule",Start-up,Other,201 - 1000,Nov-50,Yes,Fully remote,
9/10/2024 6:15,Singapore,Singapore,Male,31 - 35,Senior Product Designer,Senior Product Designer,Full-time employee,Senior IC,Product / UX design,6,6,5 to 10 years,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,SGD,Monthly,,"8,800",,,,"105,600","105,600",80K-120K,,Y,"Dental insurance, Paid time off / vacation time, Onsite food / snacks, Health insurance, Paid medical leave",Start-up,Education,51 - 200,2-Oct,Yes,Fully on-site,
9/10/2024 6:22,Singapore,Singapore,Female,31 - 35,UI/Graphic Designer,UI / Graphic Designer,Fixed term contractor,Senior IC,Marketing / graphic design,10,13,Atleast 10 years,Diploma,Yes,"Formal design education (Diploma, Degree..), Online certification (e.g. Coursera or IDF), In-person certified courses, Self-taught / informal / unstructured courses",TRUE,TRUE,FALSE,TRUE,TRUE,No,SGD,Monthly,,"4,500",,,,"54,000","54,000",30K-60K,,Y,"Allowance for flexible working arrangement (remote/co-working space), Paid medical leave, Professional development, training, or learning fund, Paid time off / vacation time, Onsite food / snacks, Health insurance",Large enterprise (MNC),Telecommunications,"10,001 and above",51 - 100,Yes,Fully on-site,
9/10/2024 7:08,Singapore,Singapore,Female,25 - 30,Senior Product Designer,Senior Product Designer,Full-time employee,Senior IC,Product / UX design,6,8,5 to 10 years,Master's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,SGD,Monthly,,"10,000","20,000",,"27,000","167,000","167,000",120K-190K,,Y,"Wellness (gym, fitness, etc), Health insurance, Paid medical leave, Professional development, training, or learning fund, Paid time off / vacation time, Meal subsidies, Dental insurance, Onsite food / snacks",Large enterprise (MNC),Financial services,"1001 - 10,000",101 and above,Yes,4 days on-site,
9/10/2024 7:20,Singapore,Singapore,Female,25 - 30,UX Designer,UX Designer,Full-time employee,Junior IC (Entry level),Product / UX design,2,4,Up to 3 years,Bachelor's degree,No,,,,,,,No,SGD,Monthly,,"4,000",,,,"48,000","48,000",30K-60K,,Y,"Paid medical leave, Allowance for flexible working arrangement (remote/co-working space)",Start-up,Education,1-Oct,Team of 1,No,Fully remote,
9/10/2024 7:30,Malaysia,Kuala Lumpur,Male,25 - 30,Senior Product Designer,Senior Product Designer,Full-time employee,Senior IC,Product / UX design,4,6,3 to 5 years,Master's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,Yes,MYR,Monthly,,"9,300","9,300",,"2,400","123,300","37,373",25K-45K,,Y,"Onsite food / snacks, Paid time off / vacation time, Flexible schedule, Health insurance, Dental insurance, Sports Club Reimbursements, Meal subsidies",Large enterprise (MNC),Financial services,201 - 1000,2-Oct,Yes,3 days on-site,MoneyLion
